[2024-09-14T10:44:35.644972] New report arrived
[2024-09-14T10:44:36.645008] New truck assigned: ABC123
[2024-09-14T10:54:01.230852] New report arrived
[2024-09-14T10:54:01.230582] Incident queue is empty
[2024-09-14T10:54:02.231480] New truck assigned: ABC123
[2024-09-14T10:56:02.231904] ETA assigned: 14/09/2024 10:59:02, Minutes left: 2
[2024-09-14T10:56:03.232647] Incident queue is empty
[2024-09-14T10:56:04.232995] Incident queue is empty
[2024-09-14T10:56:05.233606] Incident queue is empty
[2024-09-14T10:56:06.233908] Incident queue is empty
[2024-09-14T10:56:07.234339] Incident queue is empty
[2024-09-14T10:56:08.234684] Incident queue is empty
[2024-09-14T10:56:09.235026] Incident queue is empty
[2024-09-14T10:56:10.235332] Incident queue is empty
[2024-09-14T10:56:11.235622] Incident queue is empty
[2024-09-14T10:56:12.235950] Incident queue is empty
[2024-09-14T10:56:13.236296] Incident queue is empty
[2024-09-14T10:56:14.236604] Incident queue is empty
[2024-09-14T10:56:15.236952] Incident queue is empty
[2024-09-14T10:56:16.237260] Incident queue is empty
[2024-09-14T10:56:17.237812] Incident queue is empty
[2024-09-14T10:56:18.238084] Incident queue is empty
[2024-09-14T10:56:19.238366] Incident queue is empty
[2024-09-14T10:56:20.238952] Incident queue is empty
[2024-09-14T10:56:21.239610] Incident queue is empty
[2024-09-14T10:56:22.240291] Incident queue is empty
[2024-09-14T10:56:23.240843] Incident queue is empty
[2024-09-14T10:56:24.241324] Incident queue is empty
[2024-09-14T11:01:53.665308] Incident queue is empty
[2024-09-14T11:01:53.665803] Kill switch activated: All logs deleted and memory cleared
[2024-09-14T11:01:54.665771] Incident queue is empty
[2024-09-14T11:01:55.666097] Incident queue is empty
[2024-09-14T11:01:56.666423] Incident queue is empty
[2024-09-14T11:01:57.666839] Incident queue is empty
[2024-09-14T11:01:58.667191] Incident queue is empty
[2024-09-14T11:01:59.667540] Incident queue is empty
[2024-09-14T11:02:00.668129] Incident queue is empty
[2024-09-14T11:02:01.668437] Incident queue is empty
[2024-09-14T11:02:02.668717] Incident queue is empty
[2024-09-14T11:02:03.669037] Incident queue is empty
[2024-09-14T11:02:04.669376] Incident queue is empty
[2024-09-14T11:02:05.669666] Incident queue is empty
[2024-09-14T11:02:06.670021] Incident queue is empty
[2024-09-14T11:02:07.670304] Incident queue is empty
[2024-09-14T11:02:08.670639] Incident queue is empty
[2024-09-14T11:02:09.670967] Incident queue is empty
[2024-09-14T11:02:10.671494] Incident queue is empty
[2024-09-14T11:02:11.671926] Incident queue is empty
[2024-09-14T11:02:12.672325] Incident queue is empty
[2024-09-14T11:02:13.672599] Incident queue is empty
[2024-09-14T11:02:14.673121] Incident queue is empty
[2024-09-14T11:02:15.673437] Incident queue is empty
[2024-09-14T11:02:16.673686] Incident queue is empty
[2024-09-14T11:02:17.673948] Incident queue is empty
[2024-09-14T11:02:18.674203] Incident queue is empty
